frame,abs_tx,abs_ty,abs_tz,gt_abs_tx,gt_abs_ty,gt_abs_tz,abs_trans_err,abs_rot_err_deg,rel_tx,rel_ty,rel_tz,gt_rel_tx,gt_rel_ty,gt_rel_tz,rel_trans_err,rel_rot_err_deg
left_1,3.285502696517268,-0.04879738532948399,0.47485876464772664,0.0,-2.0329136865846063e-16,3.32,4.346462677021291,179.99032984556047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_10,3.2889524268655412,-0.043917646796535766,0.42737288818295366,0.0,-2.0329136865846063e-16,3.32,4.380231550261231,179.9912962047329,0.008083274711524839,0.0048023533394306196,-0.046927806507386434,0.0,0.0,0.0,0.047860432000279916,0.5591318770557625
left_11,2.6538684310460807,-0.0422040785573883,0.25631851274427797,0.0,-2.0329136865846063e-16,3.32,4.053509971481913,179.99207266433314,-0.6177280378141237,0.00846812426406044,-0.2256869061079957,0.0,0.0,0.0,0.6577189501746459,3.882389013483137
left_12,2.0576077605669636,-0.030231990894929284,0.2568863144965145,0.0,-2.0329136865846063e-16,3.32,3.690166543658648,179.99073817761047,-0.5959859965414632,0.01871226176400362,-0.010999255801560132,0.0,0.0,0.0,0.5963811201254058,0.8653810119844034
