frame,abs_tx,abs_ty,abs_tz,gt_abs_tx,gt_abs_ty,gt_abs_tz,abs_trans_err,abs_rot_err_deg,rel_tx,rel_ty,rel_tz,gt_rel_tx,gt_rel_ty,gt_rel_tz,rel_trans_err,rel_rot_err_deg
0,0.5219440972545909,0.0161312768993465,0.1259410606983032,0.5371657188644179,0.0,0.0,0.1278791094301561,0.6835313720755015,0.0,0.0,0.0,-0.5371657188644178,2.220446e-16,-2.220446e-16,0.5371657188644178,0.0181185164182829
1,0.517468831893906,0.0172317459318668,0.1378620469014584,0.5371657188644179,0.0,0.0,0.140324069211413,0.6475773523514472,-0.0046159921078068,0.0010904504677286,0.0118681286997568,0.0515465600230655,-0.0242488297601236,1.0007248999228986,0.990774457370685,2.5380274275685744
2,0.5193327226524911,0.0158640796624093,0.1274267563794282,0.5371657188644179,0.0,0.0,0.1296428286439787,0.5931519322459341,0.0019801734864157,-0.0013587640944383,-0.0104150161383976,0.051453220632766,-0.0238603818135202,0.998186353877433,1.010064665648557,2.665496786000703
3,0.520711527171153,0.0119556960321848,0.108527702485277,0.5371657188644179,0.0,0.0,0.1104171241186144,0.6246786094431198,0.0015708813725376,-0.0038926429022431,-0.0188873096428462,0.0529244641042411,-0.0218537515015578,0.9998444965820495,1.020183456489928,2.6087654086430567
4,0.5221026164497048,0.0108680711766171,0.1028948100092123,0.5371657188644179,0.0,0.0,0.1045578976083971,0.5698327122399144,0.0014515829853245,-0.0010850032839559,-0.0056181144136425,0.0448548304271365,-0.0205534219407952,0.9924698060730194,0.9992208756000256,2.7267202549294307
5,0.5235145522619145,0.0128457779807633,0.091745800348209,0.5371657188644179,0.0,0.0,0.093641124742678,0.6319513593010953,0.0015234758598717,0.0019831263728601,-0.0111333523458016,0.0525411085252072,-0.0200404368377972,0.9969749621835398,1.009638653183632,2.6378863250877083
6,0.5232965056091086,0.0111047077226648,0.0696340869220353,0.5371657188644179,0.0,0.0,0.0718649822333007,0.7367798479651786,2.4031961375424108e-05,-0.0017251042292961,-0.022114026736227,0.0514210311066654,-0.0234035283752235,0.9907869492376642,1.0144358001980474,2.5706452879392665
7,0.523834366050598,0.0083303514440252,0.0533043630171109,0.5371657188644179,0.0,0.0,0.0555740482571447,0.7999727110129977,0.0007460502701931,-0.0027646717355657,-0.0163231807137982,0.0495307642078199,-0.0248621660473225,0.9896712802108104,1.0074190304832582,2.596382154782429
8,0.5244894690380546,0.0114770314218773,0.0554935863267141,0.5371657188644179,0.0,0.0,0.0580684740915379,0.8213047542028404,0.0006260187721249,0.0031454365080659,0.0021994961189267,0.0546647475973922,-0.0203298298402879,0.985965972001088,0.9855291732936088,2.5756988537916983
9,0.5257570940206909,0.0103293282692744,0.0499442276818807,0.5371657188644179,0.0,0.0,0.0522616266687028,0.739174279121828,0.0013463002499253,-0.0011448868537771,-0.0055313819901707,0.0491837118804819,-0.01955738087477,0.9859218565794584,0.992777398089718,2.7144674018236343
