frame,abs_tx,abs_ty,abs_tz,gt_abs_tx,gt_abs_ty,gt_abs_tz,abs_trans_err,abs_rot_err_deg,rel_tx,rel_ty,rel_tz,gt_rel_tx,gt_rel_ty,gt_rel_tz,rel_trans_err,rel_rot_err_deg
000000_10,0.20156032329932014,-0.016623951888055318,0.3709859308106599,0.42252661318404705,-0.002177489436204708,1.5979000000000167e-05,0.4320341499108574,1.453995780028275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000000_11,0.24596138275621682,0.01702728857514997,-0.3431421719940335,0.42252661318404705,-0.002177489436204708,1.5979000000000167e-05,0.38639567892012217,2.6462391072595493,0.062281704091747436,0.03409509304248906,-0.7127701742124811,0.0,0.0,0.0,0.7162979877683859,4.090405040081981
000001_10,0.4085941127028506,-0.038989034232803255,0.1003204208450004,0.42252661318404705,-0.002177489436204708,1.5979000000000167e-05,0.10775057054980074,4.748710856693594,0.183065885287952,-0.05578557109086864,0.435455113898255,0.0,0.0,0.0,0.4756535551410692,7.388657203141793
000001_11,0.33884637559884145,0.020439613571097102,-0.2515926002587271,0.42252661318404705,-0.002177489436204708,1.5979000000000167e-05,0.26612176285932443,4.518141701812039,-0.04029172429023879,0.05669471157950815,-0.3569335681410734,0.0,0.0,0.0,0.3636471991275095,9.251229204166705
000002_10,0.3643647025333732,-0.006661275325363074,-0.21383982679370256,0.42252661318404705,-0.002177489436204708,1.5979000000000167e-05,0.22166916307441278,3.5610879033564893,0.028532567805758004,-0.026935101780057258,0.03565540575179546,0.0,0.0,0.0,0.05301806383504957,0.9854754164923579
000002_11,0.02805171556650316,0.04095485341454368,-0.4196061031490412,0.42252661318404705,-0.002177489436204708,1.5979000000000167e-05,0.5775409385292638,1.0264468329230128,-0.3485709557546965,0.04700102051913116,-0.1843981406585019,0.0,0.0,0.0,0.39713156686908563,2.549809657005697
000003_10,0.3910840011249913,-0.016452509872216872,0.15911033765072272,0.42252661318404705,-0.002177489436204708,1.5979000000000167e-05,0.1627987377593255,6.964453705117922,0.373304844831346,-0.05638005838552826,0.5722460540809285,0.0,0.0,0.0,0.6855660176593528,7.98397967479204
000003_11,0.2060006025965362,-0.038220372761501115,0.3669283791153124,0.42252661318404705,-0.002177489436204708,1.5979000000000167e-05,0.42755971753396377,1.0807922568584067,-0.20903125177604837,-0.019825759371294924,0.18393182886623333,0.0,0.0,0.0,0.2791380350718754,5.892978835403011
000004_10,0.12737657718445258,-0.03060625380033172,0.40171127116056554,0.42252661318404705,-0.002177489436204708,1.5979000000000167e-05,0.49928032821031015,0.21781129044085523,-0.07923874853641845,0.007873940729492273,0.03329840155859177,0.0,0.0,0.0,0.08631084380647973,0.8638974373851511
000004_11,0.280928612854484,-0.03473491974379536,0.31369743447213927,0.42252661318404705,-0.002177489436204708,1.5979000000000167e-05,0.3456964498988733,1.0666478086404145,0.153871909755818,-0.004291851734972991,-0.08744555098049717,0.0,0.0,0.0,0.1770358974600923,0.8499194687873658
