frame,abs_tx,abs_ty,abs_tz,gt_abs_tx,gt_abs_ty,gt_abs_tz,abs_trans_err,abs_rot_err_deg,rel_tx,rel_ty,rel_tz,gt_rel_tx,gt_rel_ty,gt_rel_tz,rel_trans_err,rel_rot_err_deg
000000_10,0.0485403108308114,0.0240007134393673,-0.4190480694898905,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.5622861632570889,8.023096598105946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000000_11,0.1545491271316979,0.0312848294387307,-0.3920067694749344,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.4760393840190814,1.8051293758009337,0.1066128234842995,-0.0076908670190804,0.0244277673786729,0.0,0.0,0.0,0.1096456081469119,7.907215598242055
000001_10,0.4057780764693306,-0.000711178657135,-0.1178012200536234,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.1190107387685084,10.504542529136115,0.2597374505368082,-0.0318576710748395,0.2661765550065049,0.0,0.0,0.0,0.3732672137394396,8.707972193780899
000001_11,0.0172617332119943,0.0357406698672977,-0.4206639010520266,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.5853622564056514,11.015337689842491,-0.4375520952450586,0.0317090101968952,-0.2270290562889106,0.0,0.0,0.0,0.4939630449542161,14.803269869050087
000002_10,0.2597051715774196,-0.0363870248253489,0.3313045258439085,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.3707198611193499,1.6504649969357053,0.2422543057765391,-0.1228485297053016,0.7454252680708142,0.0,0.0,0.0,0.7933711238736084,11.132242201710977
000002_11,0.1275513351365393,-0.0403314658491042,0.4007960957041664,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.4990900144470191,0.2427537878430531,-0.1340936326484046,-0.0033074670819218,0.0657056445621881,0.0,0.0,0.0,0.1493628915851454,1.5794626733424912
000003_10,0.2394040270243369,0.0278278286042145,-0.347051587468001,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.3935607911956518,1.6101505634447266,0.1128334497853691,0.0671239395198988,-0.7477939961525241,0.0,0.0,0.0,0.7592317639093478,1.7065793182234803
000003_11,0.1319913315393539,0.0177977362796846,-0.4009925305365945,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.4955982084748924,1.5198781407760549,-0.1088409734347985,-0.0104144292390411,-0.050920500860734,0.0,0.0,0.0,0.1206139098218673,0.1841550826113693
000004_10,0.0767682729548455,0.0280396363165883,-0.4145526403571907,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.5406746199726224,10.718870691144453,-0.0555705786448322,0.0102112153462923,-0.0120830941555033,0.0,0.0,0.0,0.0577785366216608,10.560744672874616
000004_11,0.0925784216454334,0.0368004751389403,-0.4106195823868403,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.5282108055478498,1.6388117497088015,0.0172543771448593,0.0056468838077084,0.0035470009998676,0.0,0.0,0.0,0.0184981632463297,11.059113314655258
000005_10,0.0870560929930765,0.0346860888983475,-0.4120092140645294,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.5326013077759861,1.43424880431905,-0.0055384371690122,-0.0021677097356847,-0.0012347337143723,0.0,0.0,0.0,0.0060743575066575,0.6851501249819296
000005_11,0.180943719121457,-0.0290633146300193,0.3807205994132263,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.4516870047986632,2.092232706036779,0.1134364028878759,-0.0637348341914755,0.7901705406917972,0.0,0.0,0.0,0.8008117319112666,0.6934616058621802
000006_10,0.0481824518071878,0.022448010123863,-0.4191754033142706,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.562549003547314,1.5200707444944426,-0.161905582988175,0.050677846807336,-0.7945633542370616,0.0,0.0,0.0,0.8124731293133446,0.7661675491458965
000006_11,0.4212395292713992,-0.0020858744217985,0.0329604106688773,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.0329696914801213,7.204318861245805,0.3845478935282098,-0.0216234475233907,0.4425557963957336,0.0,0.0,0.0,0.5866858519030796,5.744814147185849
000007_10,0.1609303655905935,0.0117653658478246,-0.2007791994885719,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.3300692407248883,3.0508716852873268,-0.2876182823330087,0.0118894499463121,-0.1993020008869642,0.0,0.0,0.0,0.3501241535652227,5.517168452074656
000007_11,0.14834254607755,0.0067099497899878,-0.1387727385069362,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.30743811952697,2.7646569624568715,-0.0103148607071756,-0.0049199540315031,0.0624356415519,0.0,0.0,0.0,0.0634729204864396,0.2866363340659835
000008_10,0.1425249517303313,0.0041124531559907,-0.0836604887891113,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.2923050547909094,2.461357893246002,-0.0039251670767424,-0.0026490772668025,0.0552768207729648,0.0,0.0,0.0,0.0554792885833291,0.3035523445617698
