frame,abs_tx,abs_ty,abs_tz,gt_abs_tx,gt_abs_ty,gt_abs_tz,abs_trans_err,abs_rot_err_deg,rel_tx,rel_ty,rel_tz,gt_rel_tx,gt_rel_ty,gt_rel_tz,rel_trans_err,rel_rot_err_deg
10,-0.2591067333532891,-0.0128228784750991,-0.3335157493776791,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.7589339610625417,2.277471927167849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-0.1915499752232783,-0.0163941312481561,-0.3053969146744554,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.6859804698072629,1.6118850944665355,0.0664154344728915,-0.0046207417360252,0.0305773950829541,0.0,0.0,0.0,0.0732621203656641,0.7074787757058447
110,-0.1468487060461651,-0.0144522834183499,-0.308511811949597,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.6477100605240346,1.2343506965468456,0.0447842500642321,0.0014394043929242,-0.0019939621991132,0.0,0.0,0.0,0.0448517204137537,0.3952106881785298
111,-0.1499276407347564,-0.0075911250968853,-0.315613887921899,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.6537242485742258,1.2324788337736734,-0.0028819320297321,0.0069342644455719,-0.0071137374016788,0.0,0.0,0.0,0.0103438298248358,0.1322541419020095
210,-0.1438806811170667,-0.0026400826658145,-0.3251345525328267,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.6531005322200284,1.1160328364343146,0.0062696561392394,0.0049467514791578,-0.0093777746883336,0.0,0.0,0.0,0.0123175320744865,0.1179989159730864
211,-0.1402742466486772,0.0015293383424741,-0.3332885158470133,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.6541027707370283,1.0112846636366064,0.0037795677699624,0.0041754619824009,-0.0080720470485518,0.0,0.0,0.0,0.0098426398312774,0.1053107885959051
310,-0.157186923256935,0.0031048140509011,-0.3286834791082734,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.6664375595835759,1.0706032002841344,-0.0169718879130368,0.0016776571123353,0.0043436855790033,0.0,0.0,0.0,0.0175990658027208,0.0829971497513619
311,-0.1198474858518654,0.0001499092126795,-0.3320212800200216,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.6359432533387059,0.7601780085357087,0.0373707129022912,-0.0031943591959454,-0.0027077388644996,0.0,0.0,0.0,0.0376046002938008,0.3352921925137139
410,-0.1266735062789918,0.0054018739119547,-0.3362857898882658,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.6440319073806485,0.8440673668514999,-0.0067472144121872,0.0053065481513515,-0.0043219644704339,0.0,0.0,0.0,0.0096106052093681,0.1162198995264821
411,-0.1164270780632374,0.0084621246208833,-0.3446870905781285,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.6398472387007239,0.7378140302019038,0.0103742287469469,0.0030249373387719,-0.0082559924216362,0.0,0.0,0.0,0.0135991278714332,0.1080940635352737
510,-0.0752631573872125,0.0088733173797022,-0.3404218867549034,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.6031705533731097,0.3712016822291361,0.0411129075356005,0.0001959621707414,0.0047455074920844,0.0,0.0,0.0,0.0413863432615232,0.3938138659482539
511,-0.0401020264319594,0.0092671760359156,-0.3383172988779316,0.422526613184047,-0.0021774894362047,1.5979000000000167e-05,0.5732587945076387,0.1961160772387088,0.035151582624399,0.0002592293764498,0.0022778463415825,0.0,0.0,0.0,0.0352262621466631,0.2989204494320344
